;Rule thisKeywordDeletionA(var name, var varIndex);Rule replaceNotEqualByEqualInt(var name);Rule replaceIfNotNullByIfNull(var name);Rule replaceModByDivInt(var name);Rule replaceGreaterEqualZeroByLessThenZero(var name);Rule replaceGreaterThenZeroByLessEqualZero(var name);Rule replaceDivByMultInt(var name);Rule replaceEqualZeroByNotEqualZero(var name);Rule replaceIfNullByIfNotNull(var name);Rule replaceMultByDivInt(var name);Rule thisKeywordInsertion(var name, var vName, var descriptor, var dClass);Rule thisKeywordDeletionI(var name, var varIndex);Rule replaceEqualByNotEqualInt(var name);Rule replaceSubByAddInt(var name);Rule replaceGreaterThenByLessEqualInt(var name);Rule replaceLessThenByGreateEqualInt(var name);Rule replaceLessEqualZeroByGreaterThenZero(var name);Rule typeCastOperatorDeletionMethod(var index, var tName);Rule superKeywordDeletionM(var cType, var name, var superClass, var mRef, var mName);Rule replaceLessThenZeroByGreaterEqualZero(var name);Rule replaceAddBySubInt(var name);Rule replaceLessEqualByGreaterThenInt(var name);Rule replaceNotEqualZeroByEqualZero(var name);Rule replaceGreaterEqualByLessThenInt(var name)
FormElement.jbc-xmi;0;0;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;0
LeafNode.jbc-xmi;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;2;0;0;0;4;0
Safelist.jbc-xmi;0;0;2;0;0;0;0;10;0;0;0;1;0;0;0;0;0;0;0;2;0;6;25;0
HtmlTreeBuilderState$16.jbc-xmi;0;0;2;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0
Attribute.jbc-xmi;0;1;10;0;0;0;0;5;2;0;0;0;0;0;0;1;1;0;0;0;0;0;5;0
HtmlTreeBuilderState$18.jbc-xmi;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
Tag.jbc-xmi;0;6;0;0;0;0;0;5;0;7;0;0;0;0;0;0;0;0;0;0;0;0;9;0
HtmlToPlainText$FormattingVisitor.jbc-xmi;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
HtmlTreeBuilderState$9.jbc-xmi;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0
Entities.jbc-xmi;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Node$OuterHtmlVisitor.jbc-xmi;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ParseErrorList.jbc-xmi;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SessionIT$ThreadCatcher.jbc-xmi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
HtmlTreeBuilderState$5.jbc-xmi;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0
XmlDeclaration.jbc-xmi;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TokeniserState$11.jbc-xmi;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
Element$1.jbc-xmi;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0
ParseSettings.jbc-xmi;0;0;1;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
DataUtil$BomCharset.jbc-xmi;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
HtmlTreeBuilderState$20.jbc-xmi;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
Comment.jbc-xmi;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
HttpConnection$Response.jbc-xmi;3;2;17;0;0;0;1;18;8;0;2;0;0;0;0;0;0;0;0;2;1;3;17;0
HtmlTreeBuilderState$7.jbc-xmi;0;2;4;0;0;0;0;24;0;0;0;0;0;3;1;2;0;0;0;2;1;1;40;0
HtmlTreeBuilderState$23.jbc-xmi;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
BuildEntities.jbc-xmi;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
CombiningEvaluator$And.jbc-xmi;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HtmlTreeBuilderState$21.jbc-xmi;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0
HtmlTreeBuilderState$3.jbc-xmi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0
Tokeniser.jbc-xmi;5;1;5;0;0;0;0;14;5;0;0;0;5;1;0;2;0;0;0;0;1;0;21;0
Node.jbc-xmi;0;0;4;0;0;0;0;11;0;1;2;1;0;0;0;0;0;0;1;3;0;2;18;0
StringUtil.jbc-xmi;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Evaluator$IsOnlyOfType.jbc-xmi;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0
CookieUtil.jbc-xmi;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
TextNode.jbc-xmi;1;0;3;0;0;0;0;8;1;0;0;0;1;1;1;0;0;0;0;0;0;0;18;0
HtmlTreeBuilderState$11.jbc-xmi;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
HtmlTreeBuilderState$1.jbc-xmi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
Token$Tag.jbc-xmi;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
HtmlTreeBuilderState$15.jbc-xmi;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0
UrlBuilder.jbc-xmi;1;0;4;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
TokeniserState$23.jbc-xmi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
HtmlTreeBuilderState$19.jbc-xmi;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
HtmlTreeBuilderState$13.jbc-xmi;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
DocumentType.jbc-xmi;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8;0
HttpConnection$Request.jbc-xmi;5;0;0;0;0;0;0;1;0;0;7;5;0;0;0;0;0;0;0;0;0;0;0;0
HtmlTreeBuilderState$6.jbc-xmi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0
Evaluator$TagEndsWith.jbc-xmi;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
HttpConnection$KeyVal.jbc-xmi;2;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
TokeniserState$14.jbc-xmi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Token$StartTag.jbc-xmi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Evaluator$IsFirstChild.jbc-xmi;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HtmlTreeBuilderState$8.jbc-xmi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
Evaluator$IsLastChild.jbc-xmi;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
W3CDom$W3CBuilder.jbc-xmi;2;0;1;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;1;0;0;12;0
CharacterReader.jbc-xmi;2;1;2;0;1;0;0;8;2;0;0;9;14;20;0;0;0;0;0;0;3;21;4;1
Evaluator$Tag.jbc-xmi;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Collector$FirstFinder.jbc-xmi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Evaluator$MatchText.jbc-xmi;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
HtmlTreeBuilderState$17.jbc-xmi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
Cleaner.jbc-xmi;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0
Entities$EscapeMode.jbc-xmi;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
HtmlTreeBuilderState$2.jbc-xmi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
HtmlTreeBuilderState.jbc-xmi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
TokenQueue.jbc-xmi;1;4;0;0;1;1;0;15;0;0;0;0;1;2;0;2;1;0;0;2;6;0;19;0
